Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built After 2005,Total Households for Tenure,Dwellings by Tenure Renter %,Dwellings by Tenure Owner %,Total Households For Structure Type Houses %,"Total Households For Structure Type Apartment, Building Low And High Rise %",Total Households For Structure Type Other Dwelling Types %,Estimated Family Size,label
3135,1520,67353.41,151,476,707,144,7,35,1498,0.445260347129506,0.554739652870494,0.39013157894736844,0.6098684210526316,0.0,2.0625,0
4305,1629,53348.57,804,488,85,74,33,145,1523,0.3046618516086671,0.6953381483913329,0.5684468999386126,0.43155310006138736,0.0,2.6427255985267033,0
6673,3249,46132.57,766,1085,541,483,66,308,3116,0.6258023106546855,0.3741976893453145,0.20652508464142813,0.7793167128347184,0.014158202523853494,2.053862726992921,0
4345,1449,108721.56,13,113,341,389,425,168,1348,0.06083086053412463,0.9391691394658753,0.9199447895100069,0.07867494824016563,0.0013802622498274672,2.9986197377501727,0
4428,1921,75305.45,476,748,278,279,57,83,1856,0.33459051724137934,0.6654094827586207,0.7418011452368558,0.25507548152004167,0.0031233732431025507,2.3050494534096826,0
1657,853,45016.27,476,145,100,43,26,63,798,0.7380952380952381,0.2619047619047619,0.0,1.0,0.0,1.9425556858147714,1
7927,3621,59556.57,33,141,601,502,834,1510,3257,0.407430150445195,0.5925698495548051,0.010494338580502624,0.9895056614194974,0.0,2.189174261253797,1
6475,2535,94758.5,35,1791,288,141,62,218,2519,0.23104406510520048,0.7689559348947995,0.8319526627218935,0.1680473372781065,0.0,2.554240631163708,0
14319,5152,90418.15,78,142,54,40,38,4800,4694,0.1670217298679165,0.8329782701320835,0.6350931677018633,0.3610248447204969,0.0038819875776397515,2.77930900621118,0
3750,1935,54047.95,1244,476,81,89,11,34,1906,0.5209863588667366,0.4790136411332634,0.29198966408268734,0.6925064599483204,0.015503875968992248,1.937984496124031,0
3996,1743,114908.68,293,535,274,252,68,321,1627,0.13583282114320835,0.8641671788567916,0.8078026391279404,0.19219736087205966,0.0,2.2925989672977627,0
6058,2504,83469.6,32,771,522,426,208,545,2446,0.2547015535568275,0.7452984464431726,0.7432108626198083,0.1873003194888179,0.0694888178913738,2.419329073482428,0
1002,343,39711.65,3,63,65,108,69,35,342,0.07309941520467836,0.868421052631579,0.8192419825072886,0.0,0.18075801749271136,2.9212827988338192,0
3863,2077,41675.04,0,27,46,279,1001,724,1926,0.43509865005192105,0.564901349948079,0.046220510351468465,0.9484833895040924,0.005296100144439095,1.8598940779971112,1
5151,2064,72751.69,744,854,233,78,48,107,2007,0.25062282012954656,0.7493771798704534,0.8304263565891473,0.16521317829457363,0.00436046511627907,2.495639534883721,0
6449,2851,46281.25,983,790,360,240,149,329,2709,0.42967884828349945,0.5703211517165006,0.5243774114345844,0.4451069800070151,0.03051560855840056,2.2620133286566118,0
5365,1753,121271.12,136,398,123,595,152,349,1680,0.02261904761904762,0.9773809523809524,0.9897318881916715,0.008556759840273816,0.0017113519680547634,3.0604677695379348,0
2500,1290,47203.56,809,366,47,21,0,47,1216,0.7220394736842105,0.2779605263157895,0.03333333333333333,0.9666666666666667,0.0,1.937984496124031,1
8768,1878,91158.51,13,0,0,45,700,1120,1741,0.07639287765651924,0.9236071223434807,0.95580404685836,0.04419595314164004,0.0,4.668796592119276,0
7399,2796,59489.9,562,679,442,643,137,333,2634,0.49164768413059984,0.5083523158694001,0.22675250357653792,0.7714592274678111,0.00178826895565093,2.646280400572246,0
6592,1881,68065.89,24,899,473,230,131,124,1753,0.28066172276098117,0.7193382772390188,0.6002126528442318,0.39659755449229134,0.003189792663476874,3.5045188729399257,0
4409,1587,94322.32,455,293,143,66,160,470,1332,0.10585585585585586,0.8941441441441441,0.9886578449905482,0.007561436672967864,0.003780718336483932,2.7781978575929425,0
3832,1515,78165.7,140,1154,127,67,11,16,1461,0.33744010951403147,0.6625598904859685,0.6059405940594059,0.3940594059405941,0.0,2.5293729372937293,0
4488,1887,46777.46,591,996,113,63,35,89,1820,0.6302197802197802,0.3697802197802198,0.2713301536830949,0.7180710121886592,0.010598834128245893,2.3783783783783785,1
820,418,54108.1,322,46,24,15,0,11,397,0.7002518891687658,0.29974811083123426,0.050239234449760764,0.937799043062201,0.011961722488038277,1.9617224880382775,1
6477,2164,80837.96,514,439,276,292,203,440,2046,0.34261974584555227,0.6573802541544477,0.3613678373382625,0.6367837338262476,0.0018484288354898336,2.993068391866913,0
384,98,54750.0,3,29,17,23,9,17,101,0.10891089108910891,0.7425742574257426,0.7448979591836735,0.0,0.25510204081632654,3.9183673469387754,0
1722,1029,27314.36,262,237,124,104,63,239,849,0.9646643109540636,0.0353356890459364,0.0369290573372206,0.9582118561710399,0.004859086491739553,1.6734693877551021,1
7935,2992,91704.49,367,885,677,175,323,565,2866,0.11793440334961619,0.8820655966503839,0.9064171122994652,0.09358288770053476,0.0,2.652072192513369,0
3480,1307,93612.83,555,589,49,55,33,26,1263,0.050673000791765635,0.9493269992082344,0.9517980107115531,0.04820198928844682,0.0,2.6625860749808723,0
4236,1553,74657.09,249,462,613,91,45,93,1494,0.1686746987951807,0.8313253012048193,0.6947842884739215,0.30521571152607857,0.0,2.72762395363812,0
8985,2940,86049.21,0,82,1238,511,383,726,2737,0.13628059919620022,0.8637194008037998,0.7244897959183674,0.2755102040816326,0.0,3.056122448979592,0
2231,705,24433.04,148,325,149,28,7,48,668,0.9491017964071856,0.05089820359281437,0.19148936170212766,0.8085106382978723,0.0,3.1645390070921984,1
6105,2650,84905.26,172,1238,183,271,499,287,2507,0.5257279617072198,0.4742720382927802,0.5316981132075471,0.4683018867924528,0.0,2.3037735849056604,0
4706,2899,48530.44,216,933,814,420,249,267,2743,0.5318993802406125,0.46810061975938755,0.17764746464298034,0.820627802690583,0.0017247326664367024,1.6233183856502242,0
4426,2042,55979.05,327,1051,241,248,87,88,1931,0.47384774728120144,0.5261522527187985,0.4524975514201763,0.545543584720862,0.0019588638589618022,2.167482859941234,0
3177,1446,82539.6,1107,222,26,18,26,47,1423,0.1735769501054111,0.8264230498945889,0.8630705394190872,0.1334716459197787,0.003457814661134163,2.1970954356846475,0
946,462,48506.04,277,78,26,10,11,60,451,0.5210643015521065,0.4789356984478936,0.35714285714285715,0.6428571428571429,0.0,2.0476190476190474,1
5117,1955,122869.9,9,494,1063,103,50,236,1851,0.13560237709346298,0.864397622906537,0.8071611253196931,0.19283887468030692,0.0,2.617391304347826,0
4748,1986,84424.67,18,394,553,521,4,496,1864,0.35675965665236054,0.6432403433476395,0.540281973816717,0.459718026183283,0.0,2.390735146022155,0
10229,2498,78393.63,0,69,379,245,1282,523,2328,0.24355670103092783,0.7564432989690721,0.8262610088070457,0.17373899119295436,0.0,4.094875900720576,0
2242,1116,46990.42,798,240,25,30,4,19,1055,0.7933649289099526,0.2066350710900474,0.10125448028673835,0.8987455197132617,0.0,2.0089605734767026,1
4766,1830,105069.4,272,689,366,286,78,139,1818,0.2156215621562156,0.7843784378437844,0.8109289617486338,0.16830601092896175,0.020765027322404372,2.6043715846994537,0
6510,2456,78442.48,74,1422,498,183,91,188,2297,0.2564214192424902,0.7435785807575098,0.8570846905537459,0.14291530944625408,0.0,2.650651465798046,0
3130,1223,82787.53,81,865,62,38,19,158,1184,0.3293918918918919,0.6706081081081081,0.8601798855273917,0.13982011447260834,0.0,2.5592804578904333,0
4868,1829,32107.01,191,945,348,149,102,94,1694,0.6652892561983471,0.3347107438016529,0.11372334609075997,0.8835429196282122,0.002733734281027884,2.661563696008748,1
6518,2273,73756.33,281,1673,155,64,29,71,2133,0.23066104078762306,0.7693389592123769,0.7030356357237132,0.29696436427628686,0.0,2.8675758908930926,0
4415,2079,59862.21,1461,357,112,62,8,79,1983,0.567826525466465,0.43217347453353505,0.1794131794131794,0.8181818181818182,0.002405002405002405,2.1236171236171235,1
7836,2385,107434.29,0,2,2,33,488,1860,2167,0.11536686663590216,0.8846331333640979,0.9983228511530399,0.0016771488469601676,0.0,3.2855345911949687,0
9038,3266,92696.88,36,545,463,930,240,1052,3124,0.15044814340588988,0.8495518565941101,0.921310471524801,0.07868952847519901,0.0,2.767299448867116,0
3657,1729,45554.09,998,502,74,33,13,109,1640,0.5865853658536585,0.41341463414634144,0.15731636784268363,0.8374783111625217,0.005205320994794679,2.1150954308849044,1
4856,1860,106026.53,625,590,197,305,69,74,1813,0.1516822945394374,0.8483177054605626,0.921505376344086,0.07150537634408602,0.006989247311827957,2.610752688172043,0
41,22,54083.5,0,0,0,14,4,4,21,0.0,0.23809523809523808,1.0,0.0,0.0,1.8636363636363635,0
4396,2244,45546.23,1280,578,171,45,37,133,2139,0.62739597942964,0.37260402057035996,0.15819964349376114,0.8266488413547237,0.015151515151515152,1.9590017825311943,1
5028,1990,79366.08,94,860,245,198,90,503,1876,0.17750533049040512,0.8224946695095949,0.7391959798994975,0.2557788944723618,0.005025125628140704,2.526633165829146,0
3738,1754,60000.0,579,792,123,91,0,169,1631,0.4273451870018394,0.5726548129981607,0.5769669327251995,0.42303306727480045,0.0,2.1311288483466364,0
1451,866,39669.57,474,232,56,49,17,38,863,0.7925840092699884,0.2074159907300116,0.028868360277136258,0.9549653579676675,0.016166281755196306,1.6755196304849884,1
4788,2243,40538.86,1167,631,223,112,36,74,2149,0.6268031642624476,0.37319683573755236,0.09852875613018279,0.8970129291127954,0.004458314757021846,2.13464110566206,1
2633,1524,30821.26,648,388,167,94,99,128,1458,0.8271604938271605,0.1728395061728395,0.043963254593175856,0.9534120734908137,0.0026246719160104987,1.7276902887139107,1
5747,2874,56552.85,26,587,370,112,61,1718,2620,0.4133587786259542,0.5866412213740458,0.030967292971468337,0.9690327070285316,0.0,1.999652052887961,1
6674,2143,193085.57,233,1229,444,89,20,128,2028,0.04142011834319527,0.9585798816568047,0.997200186654223,0.0027998133457769483,0.0,3.1143257116192253,0
5249,1542,86511.16,0,11,2,48,563,918,1410,0.1453900709219858,0.8546099290780141,0.996757457846952,0.00324254215304799,0.0,3.4040207522697794,0
2167,1204,74150.68,442,420,125,48,46,123,1086,0.7458563535911602,0.2541436464088398,0.19269102990033224,0.8073089700996677,0.0,1.7998338870431894,1
5362,2399,54444.15,967,992,113,117,35,175,2326,0.4178847807394669,0.5821152192605331,0.7699041267194664,0.23009587328053355,0.0,2.2350979574822842,0
5046,2209,26453.0,1174,430,364,105,28,108,2037,0.8384879725085911,0.16151202749140894,0.19601629696695339,0.7999094612947035,0.004074241738343142,2.2842915346310546,1
6657,2679,86712.18,36,384,242,365,473,1179,2435,0.2944558521560575,0.7055441478439425,0.6722657708100037,0.2762224710712953,0.051511758118701005,2.48488241881299,0
3258,1363,92551.37,471,530,102,150,46,64,1304,0.04217791411042945,0.9578220858895705,0.9860601614086574,0.0,0.013939838591342627,2.3903154805575935,0
3283,1767,37333.89,703,282,75,146,17,544,1633,0.6987140232700552,0.3012859767299449,0.00622524052065648,0.987549518958687,0.00622524052065648,1.8579513299377477,1
330,125,85909.09,3,33,25,27,11,26,119,0.0,1.0,0.88,0.08,0.04,2.64,0
4283,1589,133408.33,1147,151,71,63,37,120,1502,0.2589880159786951,0.741011984021305,0.776589049716803,0.223410950283197,0.0,2.695405915670233,0
2536,1121,57909.01,375,698,15,10,5,18,1090,0.47706422018348627,0.5229357798165137,0.5735950044603033,0.4264049955396967,0.0,2.262265834076717,0
7356,2612,113188.99,288,589,269,617,268,581,2334,0.1469580119965724,0.8530419880034276,0.9211332312404288,0.03790199081163859,0.04096477794793262,2.8162327718223583,0
4746,1802,41008.7,592,975,98,21,0,116,1717,0.6295864880605707,0.37041351193942923,0.008879023307436182,0.9711431742508324,0.01997780244173141,2.6337402885682577,1
6608,2749,75460.11,290,983,245,153,368,710,2601,0.33871587850826607,0.661284121491734,0.598763186613314,0.4001455074572572,0.0010913059294288831,2.4037831938886867,0
11761,3853,115042.35,10,3,234,976,447,2183,3236,0.15945611866501855,0.8405438813349815,0.834674279781988,0.16532572021801195,0.0,3.0524266805086944,0
2748,1486,47265.54,927,294,63,64,56,82,1387,0.7159336697909157,0.28406633020908434,0.008075370121130552,0.9825033647375505,0.009421265141318977,1.8492597577388963,1
855,345,90678.97,128,102,29,39,23,24,341,0.22287390029325513,0.7771260997067448,0.7768115942028986,0.0,0.22318840579710145,2.4782608695652173,0
8444,2937,127302.88,9,12,12,78,496,2330,2601,0.23260284505959247,0.7673971549404075,0.8573374191351719,0.14266258086482805,0.0,2.8750425604358187,0
3971,1448,67468.02,162,899,124,52,20,191,1298,0.6556240369799692,0.3443759630200308,0.39709944751381215,0.600828729281768,0.0020718232044198894,2.742403314917127,0
1936,798,47462.87,261,270,76,76,24,91,734,0.46321525885558584,0.5367847411444142,0.6052631578947368,0.39473684210526316,0.0,2.426065162907268,0
5571,1561,86895.36,36,57,348,476,160,484,1469,0.07964601769911504,0.9203539823008849,0.9218449711723254,0.07815502882767457,0.0,3.5688661114670084,0
4471,1580,103123.32,487,491,234,152,66,150,1473,0.09979633401221996,0.90020366598778,0.9835443037974684,0.0031645569620253164,0.013291139240506329,2.829746835443038,0
6231,2514,33736.46,1233,832,173,126,90,60,2395,0.7711899791231733,0.22881002087682673,0.014319809069212411,0.9836913285600637,0.001988862370723946,2.4785202863961815,1
3412,1149,84611.63,19,319,696,72,14,29,1103,0.24388032638259294,0.7561196736174071,0.8729329852045257,0.12358572671888599,0.0034812880765883376,2.969538729329852,0
8458,3065,113602.92,24,32,52,601,694,1662,2836,0.1717207334273625,0.8282792665726375,0.5641109298531811,0.42414355628058725,0.011745513866231648,2.7595432300163134,0
6127,2659,48103.75,719,1250,280,127,18,265,2540,0.6204724409448819,0.3795275590551181,0.30913877397517864,0.6833396013538925,0.00752162467092892,2.304249717939075,0
5317,1742,80556.81,35,1171,358,110,18,50,1589,0.2328508495909377,0.7671491504090623,0.8564867967853043,0.14351320321469574,0.0,3.0522388059701493,0
3972,1415,105773.25,151,1204,18,0,0,42,1306,0.05206738131699847,0.9479326186830015,0.9731448763250884,0.02685512367491166,0.0,2.807067137809187,0
3,2,100000.0,0,1,0,0,0,1,6,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.5,0
4789,1566,81735.45,81,345,374,294,89,383,1434,0.10948396094839609,0.8905160390516039,0.8416347381864623,0.15708812260536398,0.001277139208173691,3.058109833971903,0
3139,1115,116419.48,61,307,179,70,67,431,940,0.07234042553191489,0.9276595744680851,0.9399103139013453,0.060089686098654706,0.0,2.8152466367713003,0
6398,2245,100275.63,45,109,363,709,272,747,2053,0.1417437895762299,0.8582562104237701,0.7371937639198218,0.26057906458797325,0.0022271714922048997,2.8498886414253897,0
6367,2251,85406.71,50,213,159,413,519,897,2067,0.20996613449443638,0.7900338655055636,0.7494446912483341,0.24877832074633496,0.001776988005330964,2.828520657485562,0
9524,2605,95184.73,50,51,110,253,682,1459,2363,0.11341515023275497,0.886584849767245,0.9520153550863724,0.04683301343570057,0.0011516314779270633,3.656046065259117,0
3851,1558,102940.15,166,393,252,318,136,293,1495,0.17725752508361203,0.822742474916388,0.8953786906290115,0.09114249037227215,0.013478818998716302,2.4717586649550705,0
2714,1156,75974.15,572,326,85,40,14,119,1075,0.36093023255813955,0.6390697674418605,0.8001730103806228,0.19982698961937717,0.0,2.347750865051903,0
8263,3538,54423.92,412,1343,442,421,148,772,3320,0.40481927710843374,0.5951807228915663,0.6876766534765404,0.31119276427360093,0.0011305822498586771,2.3355002826455626,0
2469,1730,43371.88,351,766,279,70,27,237,1656,0.7789855072463768,0.2210144927536232,0.06994219653179191,0.9254335260115607,0.004624277456647399,1.4271676300578036,1
7930,2253,104177.97,12,123,202,1572,245,99,2153,0.14026939154667906,0.8597306084533209,0.96271637816245,0.037283621837549935,0.0,3.519751442521083,0
3158,1242,206075.59,1018,168,20,14,3,19,1218,0.3924466338259442,0.6075533661740559,0.5483091787439613,0.45169082125603865,0.0,2.5426731078904994,0
5403,2644,53664.56,1753,624,115,46,6,100,2510,0.49083665338645416,0.5091633466135458,0.5627836611195158,0.4357034795763994,0.0015128593040847202,2.043494704992436,0
5191,1470,118699.67,0,11,16,584,642,217,1369,0.06574141709276844,0.9342585829072315,1.0,0.0,0.0,3.531292517006803,0
7363,2599,48135.79,383,1567,162,68,20,399,2410,0.5838174273858922,0.4161825726141079,0.3409003462870335,0.6567910734898038,0.002308580223162755,2.8330126971912275,0
3330,1560,45464.71,676,511,155,70,21,127,1496,0.5802139037433155,0.4197860962566845,0.4532051282051282,0.5467948717948717,0.0,2.1346153846153846,0
7793,3106,42056.87,1120,1411,207,163,70,135,2920,0.6575342465753424,0.3424657534246575,0.2475853187379266,0.7524146812620734,0.0,2.509014810045074,1
3388,1325,71209.51,541,332,165,149,47,91,1310,0.16564885496183207,0.834351145038168,0.8883018867924528,0.08226415094339623,0.02943396226415094,2.556981132075472,0
8812,2110,95639.21,3,0,16,239,940,912,1906,0.12906610703043023,0.8709338929695698,0.9303317535545024,0.06966824644549763,0.0,4.176303317535545,0
4914,2460,96255.4,1384,680,125,70,27,174,2310,0.6233766233766234,0.37662337662337664,0.22113821138211381,0.7788617886178861,0.0,1.997560975609756,1
2169,1244,37649.04,974,150,65,30,0,25,1244,0.6889067524115756,0.31109324758842444,0.1422829581993569,0.8464630225080386,0.011254019292604502,1.7435691318327975,1
1123,474,84806.31,64,209,90,49,12,50,471,0.18683651804670912,0.8131634819532909,0.7827004219409283,0.20675105485232068,0.010548523206751054,2.369198312236287,0
7958,2865,112905.99,212,1363,354,695,49,192,2750,0.12363636363636364,0.8763636363636363,0.6652705061082025,0.3336823734729494,0.0010471204188481676,2.7776614310645726,0
4326,1547,105559.85,0,19,231,540,605,152,1445,0.10034602076124567,0.8996539792387543,0.8849385908209437,0.11506140917905623,0.0,2.7963800904977374,0
8913,3329,112272.14,10,114,559,343,306,1997,3043,0.2293789023989484,0.7702924745317121,0.8332832682487233,0.1664163412436167,0.00030039050765995795,2.6773805947732052,0
2354,1179,102509.46,658,117,86,99,25,194,1106,0.4050632911392405,0.5949367088607594,0.37319762510602206,0.6268023748939779,0.0,1.996607294317218,0
5326,2114,60583.31,655,1023,89,52,47,248,1953,0.642089093701997,0.3579109062980031,0.4385052034058657,0.5539262062440871,0.007568590350047304,2.519394512771996,0
2019,1090,31658.0,809,195,58,19,3,6,1070,0.6607476635514019,0.33925233644859815,0.3981651376146789,0.5908256880733945,0.011009174311926606,1.8522935779816514,1
5037,1753,78403.42,399,553,227,250,34,290,1647,0.4851244687310261,0.5148755312689739,0.5248146035367941,0.47518539646320596,0.0,2.8733599543639476,0
7615,2672,99244.1,112,1186,711,293,137,233,2449,0.12617394855042874,0.8738260514495713,0.7705838323353293,0.22941616766467066,0.0,2.849925149700599,0
1003,449,97376.94,86,173,69,25,9,87,403,0.04714640198511166,0.9528535980148883,0.9910913140311804,0.008908685968819599,0.0,2.2338530066815143,0
4301,1932,54400.6,1253,389,150,39,32,69,1822,0.45773874862788144,0.5422612513721186,0.37888198757763975,0.6133540372670807,0.007763975155279503,2.2261904761904763,0
5008,1742,36760.03,844,489,150,134,46,79,1652,0.8117433414043583,0.18825665859564164,0.04305396096440873,0.9569460390355913,0.0,2.8748564867967854,1
2847,1402,39118.41,770,343,60,68,17,144,1305,0.4076628352490421,0.5923371647509579,0.637660485021398,0.3594864479315264,0.0028530670470756064,2.0306704707560628,0
2957,1290,70000.0,242,694,76,51,43,184,1295,0.46332046332046334,0.5366795366795367,0.4573643410852713,0.5426356589147286,0.0,2.2922480620155037,0
11322,3829,163926.03,0,11,230,1303,939,1346,3525,0.10184397163120568,0.8978723404255319,0.9279185165839645,0.07208148341603551,0.0,2.95690780882737,0
13997,4809,103849.43,200,638,253,430,487,2801,4134,0.11127237542331882,0.8887276245766812,0.9396964025784986,0.050114368891661466,0.010189228529839884,2.9105843210646705,0
9792,3065,109400.11,11,12,139,1328,359,1216,2840,0.11795774647887323,0.8820422535211268,0.9174551386623164,0.08254486133768352,0.0,3.1947797716150084,0
16798,5394,104615.52,10,0,8,18,208,5150,4789,0.1014825642096471,0.8985174357903529,0.8687430478309233,0.13014460511679643,0.0011123470522803114,3.114200964034112,0
7179,2170,107105.02,12,66,379,1207,232,274,2052,0.16617933723196882,0.8338206627680312,0.9285714285714286,0.07142857142857142,0.0,3.3082949308755762,0
7359,3171,79761.41,2411,383,102,36,34,205,2963,0.40803239959500504,0.591967600404995,0.46357615894039733,0.5364238410596026,0.0,2.3207190160832547,0
4094,1535,87471.56,370,445,227,200,85,208,1561,0.08199871877001921,0.9180012812299808,0.965472312703583,0.013029315960912053,0.021498371335504887,2.667100977198697,0
5853,1778,81177.09,37,978,648,52,3,60,1655,0.24350453172205438,0.7564954682779457,0.8863892013498312,0.1107986501687289,0.00281214848143982,3.291901012373453,0
3568,1792,46161.73,799,665,136,40,23,129,1745,0.7031518624641834,0.2968481375358166,0.19084821428571427,0.8035714285714286,0.005580357142857143,1.9910714285714286,1
7368,2656,97090.07,8,15,161,838,593,1041,2454,0.15118174409127955,0.8488182559087205,0.7620481927710844,0.23795180722891565,0.0,2.7740963855421685,0
957,560,70000.0,0,27,158,122,112,141,527,0.04554079696394687,0.9544592030360531,0.9928571428571429,0.0,0.007142857142857143,1.7089285714285714,0
5236,2146,78149.36,173,610,435,396,146,386,2049,0.43387018057589066,0.5661298194241093,0.51071761416589,0.48928238583411,0.0,2.439888164026095,0
3455,1338,78671.95,696,451,57,42,12,80,1333,0.13653413353338334,0.8634658664666166,0.8400597907324364,0.15994020926756353,0.0,2.5822122571001493,0
7085,2580,111424.92,305,869,196,362,468,380,2413,0.21549937836717778,0.7845006216328222,0.9166666666666666,0.08333333333333333,0.0,2.746124031007752,0
5132,1943,90173.38,13,1025,753,83,12,57,1870,0.12941176470588237,0.8705882352941177,0.9948533196088523,0.0025733401955738548,0.0025733401955738548,2.6412763767370047,0
7105,3220,54901.18,2302,460,97,129,39,193,2962,0.3659689399054693,0.6340310600945307,0.7475155279503105,0.2496894409937888,0.0027950310559006213,2.2065217391304346,0
2562,1208,36781.11,577,359,93,77,19,83,1200,0.5916666666666667,0.4083333333333333,0.3228476821192053,0.6730132450331126,0.0041390728476821195,2.120860927152318,1
2093,742,92514.32,103,548,13,8,53,17,694,0.276657060518732,0.723342939481268,0.8611859838274932,0.13881401617250674,0.0,2.8207547169811322,0
4813,1854,88155.97,60,577,240,329,253,395,1786,0.18365061590145576,0.8163493840985442,0.7896440129449838,0.1871628910463862,0.02319309600862999,2.5960086299892127,0
5229,1844,57753.43,685,701,268,129,10,51,1735,0.3976945244956772,0.6023054755043228,0.5699566160520607,0.4300433839479393,0.0,2.835683297180043,0
8160,2017,96312.32,0,9,8,102,887,1011,1887,0.07631160572337042,0.9236883942766295,0.9970252850768468,0.002974714923153198,0.0,4.045612295488349,0
7566,2820,79376.99,97,427,181,763,420,932,2637,0.09821767159651118,0.9017823284034888,0.900354609929078,0.08723404255319149,0.012411347517730497,2.6829787234042555,0
5409,2189,78313.67,20,591,1070,305,50,153,2058,0.12001943634596696,0.879980563654033,0.5957058017359524,0.2494289629968022,0.15486523526724533,2.4709913202375513,0
260,123,31356.32,83,12,0,11,16,1,125,0.696,0.304,0.1951219512195122,0.8048780487804879,0.0,2.113821138211382,1
4346,1545,128930.11,69,488,203,560,98,127,1417,0.08892025405786874,0.9110797459421313,0.7831715210355987,0.2168284789644013,0.0,2.8129449838187703,0
3054,1075,127961.32,655,256,17,19,26,102,1032,0.09302325581395349,0.9069767441860465,0.9683720930232558,0.03162790697674418,0.0,2.8409302325581396,0
3651,1660,77418.16,64,785,371,234,51,155,1585,0.35520504731861197,0.644794952681388,0.6114457831325302,0.386144578313253,0.0024096385542168677,2.1993975903614458,0
15214,5771,106698.44,61,487,135,627,436,4025,5167,0.12347590478033675,0.8765240952196632,0.8837289897764685,0.11384508750649801,0.002425922717033443,2.6362848726390573,0
10897,3523,101136.32,0,34,2,26,142,3319,3164,0.22439949431099873,0.7756005056890013,0.8458699971615101,0.15413000283848993,0.0,3.0931024694862335,0
7338,2640,46834.34,292,745,284,402,79,838,2475,0.5397979797979798,0.4602020202020202,0.2412878787878788,0.7571969696969697,0.0015151515151515152,2.7795454545454548,0
5669,2928,54419.86,906,1248,393,91,94,196,2735,0.48848263254113344,0.5115173674588666,0.40505464480874315,0.5949453551912568,0.0,1.9361338797814207,0
5522,2035,102668.27,512,404,252,335,216,316,1951,0.07227063044592516,0.9277293695540748,0.9651105651105651,0.029484029484029485,0.005405405405405406,2.7135135135135133,0
7183,3378,67530.45,139,1037,631,714,380,477,3262,0.43838136112814224,0.5616186388718577,0.44849023090586143,0.5500296033155714,0.0014801657785671995,2.126406157489639,0
13863,5267,106133.39,154,589,568,432,418,3106,4835,0.1981385729058945,0.8018614270941055,0.6591987848870324,0.3408012151129675,0.0,2.6320486045187015,0
3450,1877,43284.5,606,1022,118,86,10,35,1859,0.7633136094674556,0.23668639053254437,0.15716568993074054,0.8428343100692595,0.0,1.8380394246137453,1
3573,1466,40715.2,894,427,31,69,26,19,1424,0.6629213483146067,0.33707865168539325,0.13369713506139155,0.8601637107776262,0.006139154160982265,2.437244201909959,1
8188,3095,76397.78,318,1072,384,342,291,688,3025,0.19636363636363635,0.8036363636363636,0.787075928917609,0.20226171243941843,0.010662358642972537,2.645557350565428,0
5224,1792,32620.2,408,1122,125,51,41,45,1693,0.7052569403425871,0.2947430596574129,0.2728794642857143,0.7271205357142857,0.0,2.9151785714285716,0
